iter	MultiClass
0	1.492849796
1	1.397693379
2	1.317953029
3	1.255494722
4	1.209006025
5	1.159338558
6	1.11766669
7	1.082151683
8	1.051932213
9	1.029272736
10	1.003390594
11	0.9776976977
12	0.9571599254
13	0.9391731787
14	0.924988757
15	0.9073949225
16	0.8919546497
17	0.879979102
18	0.8672324671
19	0.8556114253
20	0.8462810681
21	0.83446328
22	0.8288202084
23	0.8162543541
24	0.8072389736
25	0.797098615
26	0.7891493642
27	0.7831522308
28	0.7774325332
29	0.7707078956
30	0.7638607408
31	0.7569392306
32	0.7505781859
33	0.7455938303
34	0.7412920773
35	0.7341962334
36	0.728337437
37	0.723241651
38	0.7167894401
39	0.7112045862
40	0.7073393651
41	0.7037748938
42	0.6995630758
43	0.6959776379
44	0.6928320466
45	0.6900476009
46	0.6866685993
47	0.6828192951
48	0.6785560505
49	0.6760957388
50	0.6724509454
51	0.6697139926
52	0.6658483829
53	0.6610574717
54	0.6575948645
55	0.6548662455
56	0.6520168553
57	0.6493698027
58	0.6468255828
59	0.6431837803
60	0.6394128614
61	0.6369005787
62	0.634048343
63	0.6314655127
64	0.6286466186
65	0.6260280079
66	0.6234414143
67	0.6209447194
68	0.6188421855
69	0.6176667579
70	0.6151394839
71	0.6125583838
72	0.6097559699
73	0.6074594619
74	0.6053515141
75	0.602935724
76	0.6008504788
77	0.5988751928
78	0.5964635286
79	0.5947446705
80	0.5925713155
81	0.5903462928
82	0.5880439755
83	0.5845244355
84	0.5829520799
85	0.5800132894
86	0.5776046344
87	0.5754768785
88	0.5739659962
89	0.5711157897
90	0.5683608444
91	0.5657403205
92	0.5630516557
93	0.5605089058
94	0.5588369541
95	0.5564493721
96	0.5547129537
97	0.5530318472
98	0.5521086479
99	0.5498056287
100	0.5479752939
101	0.5461458753
102	0.5437508356
103	0.5416073435
104	0.5395937397
105	0.5382172509
106	0.5364542507
107	0.5341213087
108	0.5314458262
109	0.5300552419
110	0.5281522662
111	0.5270097685
112	0.5251154523
113	0.5235036272
114	0.5217742622
115	0.5206582425
116	0.5185797714
117	0.517440246
118	0.5153734086
119	0.5138709642
120	0.5126101915
121	0.5101306472
122	0.5086398645
123	0.5072314147
124	0.5061977583
125	0.504483203
126	0.5024231603
127	0.5005573908
128	0.4982544111
129	0.4971475966
130	0.4960683471
131	0.49410705
132	0.4930161723
133	0.4920156955
134	0.4910840327
135	0.4895017326
136	0.4883754348
137	0.4875713406
138	0.4857741906
139	0.4844586288
140	0.4829779741
141	0.4806842011
142	0.4791880083
143	0.4775939952
144	0.4758582316
145	0.4738563531
146	0.4724109312
147	0.4710614001
148	0.4700607983
149	0.4688517028
150	0.4673092995
151	0.4660935153
152	0.4648380939
153	0.462817983
154	0.4609290885
155	0.4590353928
156	0.4577653615
157	0.4562909436
158	0.4552671735
159	0.4542283094
160	0.452820262
161	0.4518751985
162	0.4499829923
163	0.4492093423
164	0.4481095765
165	0.4465353535
166	0.4454880798
167	0.4437102956
168	0.4426071643
169	0.4417529452
170	0.4409283544
171	0.4401743498
172	0.4388652224
173	0.4376222494
174	0.4368475395
175	0.436136695
176	0.4355480844
177	0.4343459757
178	0.4333229886
179	0.4323058965
180	0.4314776702
181	0.4303439862
182	0.4286066972
183	0.4272305171
184	0.4255707244
185	0.4250860478
186	0.4239202224
187	0.4236093032
188	0.4224467825
189	0.4209614601
190	0.4202209143
191	0.4188041973
192	0.4174734623
193	0.416305379
194	0.4151107089
195	0.4140846947
196	0.4126812124
197	0.411528909
198	0.4103142321
199	0.4091386822
200	0.4080958986
201	0.407019184
202	0.4065054385
203	0.4058806764
204	0.4047699608
205	0.4037009695
